City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Norman Wells,CA,2021-10-20 00:01:10,65.282,-126.8329,26.74,77,99,7.16
122,Hami,CN,2021-10-20 00:01:10,42.8,93.45,50.54,25,15,9.66
123,Pevek,RU,2021-10-20 00:01:10,69.7008,170.3133,17.1,93,100,14.92
124,Pangoa,PE,2021-10-20 00:01:11,-12.1167,-73.0,67.91,99,100,2.24
125,Cidreira,BR,2021-10-20 00:01:11,-30.1811,-50.2056,61.59,71,2,10.31
126,Iqaluit,CA,2021-10-20 00:01:12,63.7506,-68.5145,35.33,87,75,11.01
127,Port Elizabeth,ZA,2021-10-20 00:00:16,-33.918,25.5701,55.09,76,0,12.59
128,Avarua,CK,2021-10-20 00:01:12,-21.2078,-159.775,78.85,61,88,6.91
129,Alvorada,BR,2021-10-20 00:01:13,-12.48,-49.1247,77.16,67,100,4.56
130,Battle Creek,US,2021-10-20 00:01:13,42.3212,-85.1797,62.92,29,92,7.87
131,Jaca,ES,2021-10-20 00:01:14,42.569,-0.5499,55.99,90,62,4.94
132,Luderitz,NA,2021-10-20 00:01:14,-26.6481,15.1594,58.53,72,12,6.69
133,Nyurba,RU,2021-10-20 00:01:14,63.2842,118.3319,33.8,97,100,10.67
134,Hobart,AU,2021-10-19 23:59:17,-42.8794,147.3294,57.02,63,40,1.99
135,Alice Springs,AU,2021-10-19 23:57:44,-23.7,133.8833,89.15,25,50,11.5
136,Cabo Rojo,PR,2021-10-19 23:59:36,18.0866,-67.1457,83.91,94,48,4.81
137,Chichimila,MX,2021-10-20 00:01:15,20.6167,-88.2167,79.38,75,99,5.35
138,Ruteng,ID,2021-10-20 00:01:16,-8.6136,120.4721,71.65,72,98,2.15
139,Esfarayen,IR,2021-10-20 00:01:16,37.0765,57.5101,53.11,68,44,2.57
140,Nemuro,JP,2021-10-20 00:01:17,43.3236,145.575,54.03,83,100,18.52
141,Vostok,RU,2021-10-20 00:01:17,46.4856,135.8833,25.52,46,7,3.24
142,Dikson,RU,2021-10-20 00:01:17,73.5069,80.5464,27.59,59,100,8.03
143,Margate,GB,2021-10-20 00:01:18,51.3813,1.3862,63.97,78,100,1.99
144,Mehamn,NO,2021-10-20 00:01:18,71.0357,27.8492,29.62,72,96,1.43
145,Beringovskiy,RU,2021-10-20 00:01:19,63.05,179.3167,27.77,82,48,21.34
146,Meadow Lake,US,2021-10-20 00:01:19,34.8014,-106.5436,69.48,16,0,15.61
147,The Pas,CA,2021-10-20 00:00:05,53.8251,-101.2541,36.93,56,35,5.5
148,Mariveles,PH,2021-10-20 00:01:20,14.4833,120.4833,80.38,79,85,10.85
149,Kirakira,SB,2021-10-20 00:01:21,-10.4544,161.9205,84.79,73,100,8.25
150,Naze,JP,2021-10-20 00:01:21,28.3667,129.4833,70.03,57,89,14.61
151,Puerto Ayora,EC,2021-10-20 00:01:22,-0.7393,-90.3518,70.07,87,69,9.06
152,Kozhva,RU,2021-10-20 00:01:22,65.1073,57.0459,31.03,95,96,6.35
