City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather
192,Tasiilaq,GL,65.6145,-37.6368,32.16,92,100,3.04,light snow
193,Nanortalik,GL,60.1432,-45.2371,37.11,74,35,6.67,scattered clouds
194,Saint Albans,GB,51.75,-0.3333,56.39,73,90,6.91,overcast clouds
195,Kalangala,UG,-0.3089,32.225,75.11,64,63,6.78,broken clouds
196,Faanui,PF,-16.4833,-151.75,76.96,74,80,1.81,light rain
197,Hobyo,SO,5.3505,48.5268,80.64,74,12,10.63,few clouds
198,Jumla,NP,29.2747,82.1838,49.51,91,7,4.05,clear sky
199,Ayan,RU,56.45,138.1667,40.05,74,99,13.65,overcast clouds
200,Kantunilkin,MX,21.0917,-87.45,85.95,86,96,2.86,overcast clouds
201,Epe,NG,6.5841,3.9834,76.89,89,98,5.82,light rain
202,Bulgan,MN,48.8125,103.5347,34.0,47,36,1.39,scattered clouds
203,Te Anau,NZ,-45.4167,167.7167,50.43,93,100,0.89,light rain
204,Brejo,BR,-3.6844,-42.7503,96.46,36,98,4.25,overcast clouds
205,Beberibe,BR,-4.1797,-38.1306,91.17,57,76,12.64,broken clouds
206,Marzuq,YE,14.4,46.4667,79.75,19,21,12.26,few clouds
207,Nouakchott,MR,18.0858,-15.9785,98.53,36,3,7.29,clear sky
208,Chokurdakh,RU,70.6333,147.9167,-4.67,95,100,5.39,overcast clouds
209,Bambous Virieux,MU,-20.3428,57.7575,76.21,78,23,10.31,few clouds
210,Srednekolymsk,RU,67.45,153.6833,-13.09,99,67,3.65,broken clouds
211,Luknovo,RU,56.1983,42.04,44.46,72,97,11.12,moderate rain
212,Rantepao,ID,-2.9701,119.8978,65.07,87,99,2.93,overcast clouds
213,Talara,PE,-4.5772,-81.2719,69.49,76,100,14.41,overcast clouds
214,Ozuluama,MX,21.6667,-97.85,74.66,87,100,4.36,overcast clouds
215,San Rafael,AR,-34.6177,-68.3301,65.7,24,11,2.19,few clouds
216,Katete,UG,-0.7818,29.7544,73.99,68,83,2.48,light rain
217,Sinnamary,GF,5.3833,-52.95,82.42,83,98,8.79,overcast clouds
218,Kyabe,TD,9.4515,18.9449,91.38,50,18,1.7,few clouds
219,Benguela,AO,-12.5763,13.4055,79.18,64,62,5.68,broken clouds
220,Telemaco Borba,BR,-24.3239,-50.6156,78.03,39,98,6.06,overcast clouds
221,Gushikawa,JP,26.3544,127.8686,72.63,73,90,5.75,overcast clouds
222,Ajdabiya,LY,30.7554,20.2263,85.14,23,57,9.06,broken clouds
223,Tharad,IN,24.3961,71.6267,80.13,61,4,5.12,clear sky
224,Riyadh,SA,24.6877,46.7219,87.94,19,5,9.93,clear sky
225,Hithadhoo,MV,-0.6,73.0833,82.11,74,99,12.08,overcast clouds
226,Belogorsk,RU,50.9158,128.4611,38.3,78,0,3.56,clear sky
227,Puerto Escondido,MX,15.85,-97.0667,74.23,78,75,5.75,broken clouds
228,Ubatuba,BR,-23.4339,-45.0711,78.96,65,0,6.2,clear sky
229,Kysyl-Syr,RU,63.8986,122.7617,30.51,97,100,6.91,light snow
230,Tual,ID,-5.6667,132.75,83.93,73,78,9.51,broken clouds
231,Cockburn Town,TC,21.4612,-71.1419,83.34,73,44,18.99,scattered clouds
232,Ust-Ishim,RU,57.6935,71.1665,49.57,76,100,13.6,light rain
233,Renqiu,CN,38.6989,116.0936,51.13,55,0,4.52,clear sky
234,Sola,VU,-13.8833,167.55,81.0,77,22,16.35,few clouds
235,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.78,80,38,12.59,scattered clouds
236,Dzilam Gonzalez,MX,21.2833,-88.9333,76.03,94,100,3.36,overcast clouds
237,Salalah,OM,17.0151,54.0924,78.89,78,0,5.75,clear sky
238,Rabo De Peixe,PT,37.8,-25.5833,71.11,73,20,5.75,few clouds
239,Saldanha,ZA,-33.0117,17.9442,61.14,68,20,12.15,few clouds
